timestamp,P4,PO3,PO4,T5,T6,PO5,PO6,Oz,O1,O2,trigger
1756781341.782059,-256560.8125,-256715.34375,-256551.28125,-256315.5625,-256601.578125,-256810.703125,-256552.625,-256780.625,0.0,-256744.09375,-256899.21875
1756781341.782059,-256735.015625,-256499.203125,-256785.09375,-256994.171875,-256736.0,-256964.125,0.0,-256871.546875,-257026.703125,-256862.5625,-256626.484375
1756781341.782059,-256912.140625,-257121.4375,-256863.3125,-257091.53125,0.0,-256931.40625,-257086.5625,-256922.234375,-256686.34375,-256971.90625,-257181.65625
1756781341.782059,-256923.3125,-257151.484375,0.0,-256919.828125,-257074.765625,-256910.25,-256674.453125,-256960.328125,-257169.9375,-256911.6875,-257139.59375
1756781341.782059,0.0,-256805.875,-256960.640625,-256796.390625,-256560.453125,-256846.375,-257055.546875,-256797.609375,-257025.375,0.0,-256653.21875
1756781341.782059,-256808.0625,-256643.875,-256408.109375,-256693.53125,-256903.28125,-256645.25,-256872.796875,0.0,-256495.5,-256650.3125,-256486.328125
1756781341.782059,-256250.484375,-256535.78125,-256745.4375,-256487.1875,-256714.546875,0.0,-256293.125,-256447.9375,-256283.734375,-256048.234375,-256333.890625
1756781341.782059,-256542.796875,-256285.03125,-256512.03125,0.0,-256092.046875,-256246.328125,-256082.484375,-255847.03125,-256132.8125,-256341.5,-256084.0
1756781341.782059,-256310.828125,0.0,-255889.234375,-256043.859375,-255879.703125,-255644.796875,-255929.6875,-256138.671875,-255881.09375,-256107.96875,0.0
1756781341.782059,-255705.8125,-255860.171875,-255696.25,-255461.421875,-255746.3125,-255955.34375,-255697.359375,-255924.28125,0.0,-255593.0625,-255746.84375
1756781341.782059,-255582.875,-255347.734375,-255632.984375,-255841.796875,-255584.125,-255811.3125,0.0,-255541.65625,-255695.890625,-255531.828125,-255297.125
1756781341.782059,-255581.984375,-255790.5625,-255533.609375,-255760.484375,0.0,-255557.34375,-255711.359375,-255547.828125,-255312.875,-255597.359375,-255806.265625
1756781341.782059,-255549.484375,-255775.953125,0.0,-255666.109375,-255819.625,-255656.0625,-255421.28125,-255706.171875,-255914.890625,-255657.4375,-255884.140625
1756781341.782059,0.0,-255811.09375,-255965.265625,-255801.296875,-255566.6875,-255851.5,-256060.578125,-255802.765625,-256029.546875,0.0,-255964.90625
1756781341.782059,-256119.1875,-255955.078125,-255720.25,-256005.5,-256214.671875,-255956.6875,-256183.46875,0.0,-256169.203125,-256323.5625,-256159.46875
1756781341.782059,-255924.046875,-256209.703125,-256418.609375,-256160.890625,-256388.125,0.0,-256374.625,-256529.15625,-256365.015625,-256129.0625,-256414.859375
1756781341.782059,-256624.0625,-256366.4375,-256593.578125,0.0,-256562.46875,-256717.140625,-256552.859375,-256316.859375,-256602.703125,-256812.046875,-256553.796875
1756781341.782059,-256781.5625,0.0,-256746.734375,-256901.40625,-256737.171875,-256501.71875,-256787.40625,-256996.671875,-256737.921875,-256965.828125,0.0
1756781341.782059,-256872.703125,-257027.6875,-256863.1875,-256628.046875,-256913.46875,-257122.78125,-256864.078125,-257092.296875,0.0,-256932.703125,-257087.421875
1756781341.782059,-256923.171875,-256687.40625,-256973.515625,-257182.28125,-256923.765625,-257151.875,0.0,-256922.109375,-257076.90625,-256912.8125,-256677.125
1756781341.782059,-256962.921875,-257172.078125,-256913.609375,-257141.78125,0.0,-256807.75,-256962.34375,-256798.28125,-256562.546875,-256848.390625,-257058.09375
1756781341.782059,-256799.265625,-257027.421875,0.0,-256652.546875,-256807.03125,-256642.890625,-256407.515625,-256693.53125,-256902.4375,-256644.265625,-256872.03125
1756781341.782059,0.0,-256493.890625,-256648.515625,-256484.453125,-256248.953125,-256534.53125,-256743.609375,-256485.625,-256713.421875,0.0,-256293.890625
1756781341.782059,-256448.25,-256284.28125,-256049.140625,-256334.484375,-256543.375,-256285.53125,-256512.984375,0.0,-256093.796875,-256247.84375,-256084.0
1756781341.782059,-255849.09375,-256134.296875,-256343.109375,-256085.390625,-256312.390625,0.0,-255888.328125,-256042.421875,-255878.6875,-255643.578125,-255929.015625
1756781341.782059,-256137.6875,-255879.96875,-256107.03125,0.0,-255703.625,-255857.484375,-255693.65625,-255459.046875,-255743.859375,-255952.703125,-255695.171875
1756781341.782059,-255922.125,0.0,-255593.65625,-255747.78125,-255583.8125,-255349.21875,-255633.921875,-255842.828125,-255585.609375,-255811.890625,0.0
1756781341.782059,-255544.03125,-255698.21875,-255534.28125,-255299.59375,-255584.484375,-255793.25,-255535.671875,-255762.359375,0.0,-255558.421875,-255712.65625
1756781341.782059,-255548.71875,-255313.9375,-255599.109375,-255807.78125,-255549.9375,-255776.578125,0.0,-255668.890625,-255822.84375,-255659.140625,-255424.171875
1756781341.8229187,-255709.875,-255918.015625,-255660.265625,-255887.21875,0.0,-255814.578125,-255968.4375,-255804.921875,-255569.59375,-255854.9375,-256063.484375
1756781341.8229187,-255805.953125,-256032.859375,0.0,-255965.3125,-256119.359375,-255955.390625,-255720.25,-256005.59375,-256214.21875,-255956.640625,-256183.46875
1756781341.8229187,0.0,-256169.609375,-256323.96875,-256160.046875,-255925.0,-256209.9375,-256419.1875,-256161.390625,-256388.4375,0.0,-256376.765625
1756781341.8229187,-256531.3125,-256367.46875,-256131.875,-256417.046875,-256626.34375,-256367.921875,-256595.859375,0.0,-256561.96875,-256716.734375,-256552.8125
1756781341.8229187,-256317.09375,-256602.65625,-256811.90625,-256553.484375,-256781.375,0.0,-256745.390625,-256899.890625,-256735.953125,-256499.96875,-256785.578125
1756781341.8229187,-256995.15625,-256736.8125,-256964.84375,0.0,-256871.59375,-257026.484375,-256862.515625,-256626.03125,-256912.21875,-257121.390625,-256863.453125
1756781341.8229187,-257091.3125,0.0,-256931.53125,-257086.171875,-256922.0625,-256685.75,-256971.8125,-257181.078125,-256923.125,-257150.8125,0.0
1756781341.8229187,-256919.203125,-257074.3125,-256910.296875,-256674.0,-256959.65625,-257169.453125,-256910.921875,-257138.921875,0.0,-256804.75,-256959.4375
1756781341.8229187,-256795.453125,-256559.421875,-256845.125,-257054.65625,-256796.359375,-257024.25,0.0,-256650.84375,-256805.421875,-256641.59375,-256405.6875
1756781341.8229187,-256691.34375,-256900.5625,-256642.265625,-256869.9375,0.0,-256491.4375,-256646.28125,-256482.3125,-256246.671875,-256532.0625,-256741.59375
1756781341.8229187,-256483.34375,-256710.75,0.0,-256289.328125,-256444.09375,-256279.9375,-256044.796875,-256329.875,-256539.125,-256281.234375,-256508.234375
1756781341.8229187,0.0,-256091.921875,-256246.1875,-256082.21875,-255847.125,-256132.5,-256341.3125,-256083.59375,-256310.609375,0.0,-255887.125
1756781341.8229187,-256041.765625,-255877.46875,-255642.375,-255927.765625,-256136.484375,-255879.03125,-256106.3125,0.0,-255702.140625,-255856.109375,-255692.578125
1756781341.8229187,-255457.390625,-255742.296875,-255951.5,-255694.09375,-255921.234375,0.0,-255591.375,-255745.015625,-255581.53125,-255346.9375,-255631.46875
1756781341.8229187,-255840.40625,-255583.140625,-255809.96875,0.0,-255540.28125,-255694.453125,-255530.21875,-255295.921875,-255580.78125,-255789.5,-255532.359375
1756781341.8229187,-255758.921875,0.0,-255557.625,-255711.0,-255546.890625,-255312.6875,-255597.546875,-255806.3125,-255549.265625,-255775.640625,0.0
1756781341.8229187,-255668.125,-255821.859375,-255658.03125,-255423.46875,-255708.40625,-255917.078125,-255659.984375,-255886.40625,0.0,-255814.34375,-255968.359375
1756781341.8229187,-255804.421875,-255569.59375,-255854.671875,-256063.578125,-255805.953125,-256033.078125,0.0,-255967.015625,-256121.46875,-255957.265625,-255722.390625
1756781341.8229187,-256007.5625,-256216.328125,-255958.828125,-256185.96875,0.0,-256171.171875,-256325.84375,-256161.421875,-255926.015625,-256211.3125,-256420.625
1756781341.8229187,-256163.265625,-256390.3125,0.0,-256375.828125,-256530.8125,-256366.34375,-256131.03125,-256416.234375,-256625.71875,-256368.140625,-256595.328125
1756781341.8229187,0.0,-256561.578125,-256716.296875,-256551.828125,-256317.09375,-256602.25,-256811.328125,-256553.65625,-256780.96875,0.0,-256745.4375
1756781341.8229187,-256900.25,-256735.6875,-256500.59375,-256786.078125,-256995.421875,-256737.4375,-256964.84375,0.0,-256872.796875,-257027.65625,-256863.0
1756781341.8229187,-256627.640625,-256913.390625,-257122.6875,-256864.578125,-257092.296875,0.0,-256931.671875,-257086.65625,-256922.1875,-256686.828125,-256972.703125
1756781341.8229187,-257181.515625,-256923.359375,-257151.34375,0.0,-256918.84375,-257073.734375,-256909.671875,-256673.859375,-256960.015625,-257168.734375,-256910.796875
1756781341.8229187,-257138.875,0.0,-256804.890625,-256959.75,-256795.1875,-256559.875,-256845.578125,-257054.5625,-256796.671875,-257024.15625,0.0
1756781341.8229187,-256652.40625,-256807.078125,-256642.703125,-256407.34375,-256693.21875,-256901.765625,-256643.921875,-256871.5,0.0,-256495.1875,-256649.71875
1756781341.8229187,-256485.578125,-256250.34375,-256536.0,-256744.765625,-256486.828125,-256714.09375,0.0,-256292.984375,-256447.265625,-256283.375,-256048.234375
1756781341.8229187,-256333.578125,-256542.578125,-256284.90625,-256511.8125,0.0,-256091.828125,-256245.921875,-256081.953125,-255847.078125,-256132.421875,-256340.875
1756781341.8229187,-256083.46875,-256310.5625,0.0,-255885.46875,-256039.796875,-255875.59375,-255640.59375,-255926.109375,-256134.515625,-255877.203125,-256104.03125
1756781341.8229187,0.0,-255702.90625,-255856.8125,-255693.109375,-255458.0625,-255743.359375,-255951.765625,-255694.59375,-255921.109375,0.0,-255594.984375
1756781341.8229187,-255748.546875,-255584.890625,-255350.234375,-255635.5,-255843.359375,-255586.453125,-255813.234375,0.0,-255544.03125,-255697.765625,-255533.84375
1756781341.8233843,-255299.140625,-255584.265625,-255792.71875,-255535.484375,-255762.09375,0.0,-255559.140625,-255713.015625,-255549.125,-255314.34375,-255599.1875
1756781341.8233843,-255808.046875,-255550.6875,-255777.15625,0.0,-255669.421875,-255823.65625,-255659.8125,-255424.84375,-255709.484375,-255918.515625,-255661.234375
1756781341.8643706,-255887.890625,0.0,-255814.703125,-255969.03125,-255805.1875,-255570.1875,-255854.9375,-256064.015625,-255806.390625,-256033.484375,0.0
1756781341.8643706,-255966.4375,-256120.796875,-255956.90625,-255721.90625,-256006.9375,-256216.140625,-255958.34375,-256185.53125,0.0,-256172.65625,-256327.09375
1756781341.8643706,-256163.125,-255927.8125,-256212.890625,-256422.1875,-256164.421875,-256391.46875,0.0,-256378.421875,-256532.828125,-256369.03125,-256133.359375
1756781341.8643706,-256418.515625,-256627.953125,-256369.796875,-256597.28125,0.0,-256563.890625,-256718.25,-256554.5,-256318.828125,-256604.171875,-256813.609375
1756781341.8643706,-256555.453125,-256782.71875,0.0,-256747.09375,-256901.859375,-256737.921875,-256502.109375,-256787.8125,-256996.890625,-256738.953125,-256966.40625
1756781341.8643706,0.0,-256872.53125,-257027.25,-256863.359375,-256627.421875,-256913.390625,-257122.375,-256864.21875,-257092.0625,0.0,-256931.890625
1756781341.8643706,-257086.875,-256923.046875,-256686.875,-256972.703125,-257182.28125,-256923.53125,-257151.5625,0.0,-256918.21875,-257073.515625,-256909.453125
1756781341.8643706,-256673.109375,-256959.4375,-257168.734375,-256910.078125,-257138.15625,0.0,-256803.734375,-256958.71875,-256794.609375,-256559.015625,-256844.953125
1756781341.8643706,-257053.75,-256795.28125,-257023.21875,0.0,-256649.453125,-256804.171875,-256640.34375,-256404.796875,-256690.1875,-256899.265625,-256640.921875
1756781341.8643706,-256868.546875,0.0,-256490.21875,-256645.03125,-256480.921875,-256245.515625,-256530.71875,-256740.15625,-256482.0,-256709.3125,0.0
1756781341.8643706,-256288.875,-256443.015625,-256278.90625,-256043.859375,-256329.375,-256538.09375,-256280.703125,-256507.390625,0.0,-256088.734375,-256242.96875
1756781341.8643706,-256079.0,-255843.625,-256129.109375,-256337.96875,-256080.65625,-256307.203125,0.0,-255883.953125,-256037.875,-255874.171875,-255638.9375
